Order ID,Order Date,Customer Name,Country,Product,Quantity,Sales Amount
75,2024-08-30,John Smith,USA,Headphones,2,48108
76,2024-03-09,Emma Watson,Germany,Smartwatch,5,62295
77,2024-09-09,Sophia Brown,Germany,Tablet,3,146235
78,2024-02-14,Liam Johnson,UK,Headphones,4,50356
79,2024-11-20,Olivia Davis,UK,Headphones,4,222788
80,2024-08-28,Amit Sharma,UK,Laptop,1,59600
81,2024-09-08,Olivia Davis,USA,Smartwatch,5,160675
82,2024-06-16,Sophia Brown,UK,Mobile,3,232464
83,2024-08-13,Amit Sharma,India,Smartwatch,2,148456
84,2024-01-21,Olivia Davis,India,Tablet,4,63900
85,2024-07-09,Olivia Davis,UK,Smartwatch,2,81020
86,2024-10-30,John Smith,USA,Tablet,3,124416
87,2024-09-27,Liam Johnson,UK,Laptop,1,68240
88,2024-06-22,Liam Johnson,UK,Headphones,1,22070
89,2024-01-25,Emma Watson,UK,Smartwatch,1,33457
90,2024-12-10,John Smith,UK,Tablet,3,55581
91,2024-06-12,Sophia Brown,Germany,Tablet,3,108228
92,2024-10-09,Olivia Davis,Germany,Headphones,2,45202
93,2024-02-18,John Smith,Germany,Headphones,4,93220
94,2024-12-15,Rahul Verma,Germany,Mobile,3,63768
95,2024-09-27,Noah Wilson,UK,Laptop,4,189300
96,2024-12-01,Sophia Brown,Australia,Laptop,4,25636
97,2024-10-18,Liam Johnson,Australia,Laptop,2,66166
98,2024-02-22,John Smith,Germany,Headphones,2,30728
99,2024-07-01,John Smith,Germany,Laptop,4,225600
100,2024-09-14,Noah Wilson,USA,Laptop,1,74126
